|id|faction_id|name|legend|type|Unnamed: 5
89|936|DRU|Ship-killer Cult|<b>Employing esoteric technologies to transmit their exploits back to debauched audiences in Commorragh, some Wych Cults board voidships as a kind of murderous death-sport. Here, the voidship becomes the arena, and the Wyches’ every violent action the entertainment for their baying fans.</b>|Boarding Actions|
90|937|DRU|Painbringers|<b>The twisted fleshcrafters of the Haemonculus Covens seek to seize fresh captives for their laboratories. Boarding enemy vessels, they rely upon their menageries of mutant creations to smash through bulkheads and rip open hatches. The Haemonculi and their creations are empowered by pain both given and received, and will fight on through injuries that would spell doom for lesser beings.</b>|Boarding Actions|
107|939|GC|Cult Unveiled|<b>Many Genestealer Cults seek to spread beyond their birth worlds by smuggling broods of the faithful onto departing voidships. Though cunning, some such cult cells are discovered before they reach their destinations. In such circumstances, they will fight furiously to overtake their host vessel entirely.</b>|Boarding Actions|
108|940|GC|Genespawn Onslaught|<b>Unleashed by a voidborne cult as a deadly boarding spearhead, or boiling up from the depths of a host vessel as the first blow struck by a cult rising in its underdecks, this tide of horrors crushes all before it. Blessed by the Star Children, these favoured of the cult can be relied upon to wreak absolute havoc.</b>|Boarding Actions|
109|941|GC|Infestation Swarm|<b>Many doomed voidships have been infested by Genestealers, their corridors and crawlways transformed into the hunting grounds and brood-lairs of monstrous vanguard organisms. Such infestations prove nightmarishly deadly to any unwise enough to board these apparent derelicts.</b>|Boarding Actions|
111|943|GK|Void Purge Force|<b>Whether striking into a warp-compromised vessel to annihilate all aboard, defending a vital Grey Knights warship from infernal threats, or removing allies or foes who know too much, these strike teams of Grey Knights hit hard and fast to ensure none escape their purge.</b>|Boarding Actions|
112|944|GK|Baneslayer Strike|<b>The infernal power of dire threats such as the Heretic Astartes, the Daemons of Chaos or the most abominable of xenos horrors is magnified within the close quarters of shipboard war. The Grey Knights have the tools to deal with even such arch-fiends, however, and they come clad in Terminator plate.</b>|Boarding Actions|
119|950|LoV|Void Salvagers|<b>The salvage fleets of the Leagues of Votann secure material resources and recover stolen technologies. Their aggressive salvage operations bring them into conflict with hostile foes. It is fortunate, therefore, that Kin soldiers are well suited to combat in the close confines of space hulks and voidships.</b>|Boarding Actions|
120|951|LoV|Hearthfire Strike|<b>During the most punishing void battles, when the butcher’s bill is spiralling but the promised rewards still justify the cost of conflict, the most expedient plan is often also the most direct. Gathering the might of the Einhyr, the Kin launch a single, thunderous strike to end all enemy resistance.</b>|Boarding Actions|
132|959|NEC|Tomb Ship Complement|<b>The phaerons of the Necron dynasties possess some of the most powerful voidships in the known galaxy. These gigantic vessels carry full complements of Necron Warriors, Lychguard, Canoptek constructs and other lethal assets that can repel boarders or slaughter enemy crews with ease.</b>|Boarding Actions|
133|960|NEC|Deranged Outcasts|<b>Whilst the minds of many Necrons have been afflicted by the Great Sleep, the outcast Destroyer Cults and Flayed Ones have lost all semblance of sanity. Necron commanders often unleash these insane killers on their most hated foes, trusting that they will slaughter every last living being.</b>|Boarding Actions|
134|961|NEC|Canoptek Harvesters|<b>Created to defend the Necrons’ tomb worlds, Canoptek constructs are often repurposed to harvest valuable resources for their Cryptek overseers. These murderous automatons will phase through walls, atomise deck plates and obliterate the living in order to achieve their masters’ goals.</b>|Boarding Actions|
142|963|ORK|Ramship Raiders|<b>When Ork void fleets attack enemy shipping, they often lead the assault with ramships. These pugnacious craft slam headlong into the foes’ vessels, burying themselves in the superstructure of larger enemy ships before filling them with rampaging Ork boarders.</b>|Boarding Actions|
143|964|ORK|Kaptin Killers|<b>Regardless of the wider objectives of a void war, once a Warboss and his best Boyz get aboard an enemy ship their top priority is nearly always finding the enemy shipmaster and beating them to a pulp. If that leads to capturing the vessel in the process, so much the better!</b>|Boarding Actions|
170|905|SM|Boarding Strike|<b>Space Marines excel in the sort of fast-paced, ferociously violent battles that erupt during voidship boarding assaults. Moving fast and hitting hard, they swiftly secure enemy vessels, or else sweep impertinent foes from their own warships’ decks.</b>|Boarding Actions|
171|906|SM|Pilum Strike Team|<b>Comprising veterans in the theatre of ship-to-ship void war, pilum strike teams are cast through the void like a spear aboard shrouded boarding torpedoes to infiltrate key enemy warships. Once aboard, the Phobos-armoured Space Marines wage a terror campaign to destabilise the target vessel from within.</b>|Boarding Actions|
172|907|SM|Terminator Assault|<b>The Imperium has no finer or more perfectly suited warriors for cleansing the claustrophobic decks of voidships than Terminators. Each battle-brother is an army unto themself. Their armoured resilience is second to none, while their massive firepower allows them to turn gloomy corridors into killing grounds.</b>|Boarding Actions|
194|966|TAU|Starfire Cadre|<b>When mobilised en masse for shipboard warfare, the interconnected teams of a Starfire Cadre are swiftly moved into position by Air caste assets before commencing aggressive sweep-and-clear operations.</b>|Boarding Actions|
195|967|TAU|Kroot Raiding Party|<b>The Kroot are frighteningly effective combatants amidst the cramped conditions of a boarding action. Spilling from the Warspheres in fast-moving raiding parties, they hunt their victims deck by deck and leave carnage in their wake.</b>|Boarding Actions|
198|969|TS|Chosen Cabal|<b>At the command of the Thousand Sons Sorcerers, Rubric Marines and cultist thralls press through the labyrinthine corridors of enemy voidships with impossible precision, seizing objectives from under the noses of their confounded foes.</b>|Boarding Actions|
199|970|TS|Devoted Thralls|<b>Having boarded by deceit and infiltration or through conjured warp portals, the mortal cultists of Tzeentch surge through the vessels of voidships to unleash riotous displays of witchery and violence on behalf of their Thousand Sons masters.</b>|Boarding Actions|
200|971|TS|Fateseekers|<b>Amidst the twisting corridors of voidships, upon the strange tides of the warp, many esoteric and powerful prizes wait to be claimed. Having scried the paths of fate that will lead them to these prizes, Thousand Sons Sorcerers set out with trusted coteries to claim them.</b>|Boarding Actions|
213|973|TYR|Tyranid Attack|<b>Amidst the dark of the void, the alien horror of the Tyranids is rendered all the more terrifying. Whether swarming forth to defend their own bio-ships or stalking their prey through the decks of voidships or star forts, the hunting swarms leave none alive.</b>|Boarding Actions|
214|974|TYR|Boarding Swarm|<b>When Tyranid hive ships latch onto prey vessels, they unleash tailored swarms of swift vanguard organisms whose purpose is to sow terror amongst the defenders and strike for vital targets such as the enginarium and command bridge.</b>|Boarding Actions|
215|975|TYR|Biotide|<b>Whether responding to attacks by hostile boarding parties or spilling into an already-breached prey vessel, these unceasing waves of warrior organisms overrun their victims like a multiplying virus.</b>|Boarding Actions|
216|979|TYR|Infestation Swarm|<b>Many doomed voidships have been infested by Genestealers, their corridors and crawlways transformed into the hunting grounds and brood-lairs of monstrous vanguard organisms. Such infestations prove nightmarishly deadly to any unwise enough to board these apparent derelicts.</b>|Boarding Actions|
220|977|WE|Boarding Butchers|<b>Whether attacking an enemy voidship, or counterassaulting foes unwise enough to board a World Eaters vessel, these blood-drenched slaughterers reduce their victims to headless carcasses with shocking speed. Such close confines suit these murderous berzerkers perfectly.</b>|Boarding Actions|
221|978|WE|Skullsworn|<b>The elite of the World Eaters burn with the unholy blessings of Khorne. However, such might is not given freely. Storming headlong into the close-quarters carnage of a boarding action is the ideal way in which such empowered warriors can claim the tithe of skulls they owe their Dark God.</b>|Boarding Actions|
